Source IP,Destination IP,Src Port,Dst Port,Protocol_L4,Flow Hash,Flow start,Flow End,Total Bytes from Src IP,TTL MIN, TTL MAX,Total Packets from Src IP,Direction,SYN Flag,RST Flag,ACK Flag,FIN Flag,Total Bidirectional Bytes,APPLICATION LAYER PROTOCOL,Protocol Sprecific Information
fe80:0000:0000:0000:f886:b7ff:fe0a:6c51,ff02:0000:0000:0000:0000:0000:0000:00fb,0,10776,4,11741727959868307762,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,186,,
fe80:0000:0000:0000:f886:b7ff:fe0a:6c51,ff02:0000:0000:0000:0000:0001:ff0a:6c51,0,10776,7,18066623461333218102,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,272,,
fe80:0000:0000:0000:1bc5:c1e0:9a7e:ff2c,ff02:0000:0000:0000:0000:0001:ff7e:ff2c,0,10776,7,9837989894867550900,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,186,,
fe80:0000:0000:0000:1bc5:c1e0:9a7e:ff2c,ff02:0000:0000:0000:0000:0000:0001:0003,0,10776,7,10826375091181779140,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,272,,
fe80:0000:0000:0000:1bc5:c1e0:9a7e:ff2c,ff02:0000:0000:0000:0000:0000:0000:00fb,0,10776,7,16291638682023795370,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,358,,
fe80:0000:0000:0000:1bc5:c1e0:9a7e:ff2c,ff02:0000:0000:0000:0000:0000:0000:000c,0,10776,7,16331714820465960694,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,444,,
fe80:0000:0000:0000:b05f:0aff:fea2:6cf9,ff02:0000:0000:0000:0000:0001:ffa2:6cf9,0,10776,7,3478314946691672872,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,186,,
fe80:0000:0000:0000:b05f:0aff:fea2:6cf9,ff02:0000:0000:0000:0000:0000:0000:0002,0,10776,7,7469355969610149486,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,272,,
fe80:0000:0000:0000:b05f:0aff:fea2:6cf9,ff05:0000:0000:0000:0000:0000:0000:0002,0,10776,108,9997344973929046218,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,358,,
fe80:0000:0000:0000:b05f:0aff:fea2:6cf9,ff02:0000:0000:0000:0000:0001:ff00:0000,0,10776,7,3417638024867267398,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,444,,
fe80:0000:0000:0000:b05f:0aff:fea2:6cf9,ff02:0000:0000:0000:0000:0000:0000:00fb,0,10776,8,6430617980495703630,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,530,,
172.22.124.41,224.0.0.252,62578,5355,17,4581306964948466564,1751825540,1751825540,67,0,1,1,MULTICAST,0,0,0,0,167,,
fe80:0000:0000:0000:f1a0:8f69:7b74:3527,ff02:0000:0000:0000:0000:0000:0001:0002,546,547,17,8580103491732647521,1751825540,1751825540,120,1,254,1,MULTICAST,0,0,0,0,220,,
fe80:0000:0000:0000:f1a0:8f69:7b74:3527,ff02:0000:0000:0000:0000:0001:ffa0:b495,0,10776,58,14338892906010290403,1751825540,1751825540,86,255,254,1,MULTICAST,0,0,0,0,306,,
172.22.124.250,224.0.0.251,5353,5353,17,17864733445193145942,1751825539,1751825540,510,0,255,5,MULTICAST,0,0,0,0,777,,
fe80:0000:0000:0000:1cef:07ff:fe63:7fbd,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,7652440801523833274,1751825539,1751825540,610,255,254,5,MULTICAST,0,0,0,0,710,,
fe80:0000:0000:0000:2ada:bb3e:70bc:6a0c,ff02:0000:0000:0000:0000:0001:ffbc:6a0c,0,10776,13,16781643924342079293,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,186,,
fe80:0000:0000:0000:2ada:bb3e:70bc:6a0c,ff02:0000:0000:0000:0000:0000:0001:0003,0,10776,13,18283156713665624233,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,272,,
fe80:0000:0000:0000:2ada:bb3e:70bc:6a0c,ff02:0000:0000:0000:0000:0000:0000:000c,0,10776,13,9880960223995995803,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,358,,
fe80:0000:0000:0000:2ada:bb3e:70bc:6a0c,ff02:0000:0000:0000:0000:0000:0000:00fb,0,10776,13,9913082425663691463,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,444,,
fe80:0000:0000:0000:6ff9:3a23:6518:ac5a,ff05:0000:0000:0000:0000:0000:0000:000c,0,10776,146,7844960169242337574,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,186,,
fe80:0000:0000:0000:6ff9:3a23:6518:ac5a,ff02:0000:0000:0000:0000:0000:0000:00fb,0,10776,13,13144984579649634396,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,272,,
fe80:0000:0000:0000:6ff9:3a23:6518:ac5a,ff02:0000:0000:0000:0000:0001:ff18:ac5a,0,10776,13,1731268816753783092,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,358,,
fe80:0000:0000:0000:5f7d:dd21:cf5e:bf71,ff02:0000:0000:0000:0000:0001:ff5e:bf71,0,10776,13,5500724655396622601,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,186,,
fe80:0000:0000:0000:5f7d:dd21:cf5e:bf71,ff02:0000:0000:0000:0000:0000:0001:0003,0,10776,13,9748208689940207245,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,272,,
fe80:0000:0000:0000:5f7d:dd21:cf5e:bf71,ff02:0000:0000:0000:0000:0000:0000:00fb,0,10776,13,17537049932858356963,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,358,,
fe80:0000:0000:0000:5f7d:dd21:cf5e:bf71,ff02:0000:0000:0000:0000:0000:0000:000c,0,10776,13,17569231500260329663,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,444,,
fe80:0000:0000:0000:6401:dbff:fee1:7397,ff02:0000:0000:0000:0000:0000:0000:0002,0,10776,13,6914051494932101376,1751825540,1751825540,86,1,254,1,MULTICAST,0,0,0,0,186,,
